recnum,fc_num,contact_date,sex,race,age,build,hair_style,complexion,ethnicity,otherclothing
100059127,F190041841,2019-01-16 17:51:00.0,Male,Black,27,Heavy,Short,Dark Brown,Not of Hispanic Origin,PRIOR FIREARMS CHARGES
100059128,F190041838,2019-01-16 17:10:00.0,Male,Black,24,,,,,
100059131,F190041842,2019-01-16 17:04:00.0,Male,Black,34,,,,,
100059208,F190041850,2019-01-16 21:39:00.0,Female,Black,,,,,,
100059135,F190041836,2019-01-16 16:30:00.0,Male,Black,54,,,,,"BLACK COAT, ORANGE PANTS"
100059226,F190041897,2019-01-17 08:00:00.0,Male,White,20,,,,,"WHITE NIKE SNEAKERS WITH PURPLE, BLACK PANTS, GREEN HOSPITAL SHIRT, BLACK BASEBALL HAT WITH THREE STRIPES (RED/WHITE/BLUE)"
100059141,F190041856,2019-01-17 09:19:00.0,Male,Black,29,Muscular,,Dark Brown,Not of Hispanic Origin,"BLACK KNIT HAT, BLACK NORTHFACE JACKET, BLUE JEANS, BLACK SNEAKERS"
100059142,F190041859,2019-01-17 13:45:00.0,Male,Black,48,,,,Not of Hispanic Origin,"GRAY JACKET, GRAY PANTS"
100059146,F190041863,2019-01-17 15:20:00.0,Male,Black,32,Heavy,,,,
100059318,F190041946,2019-01-23 00:35:00.0,Male,White,26,,,,Not of Hispanic Origin,"BLACK HAT, CREAM SWEATER, BLUE SHIRT, KHAKI PANTS, GREY SNEAKERS"
100059153,F190041875,2019-01-18 01:15:00.0,Male,Black,52,Small,Short,Medium,Not of Hispanic Origin,"GRAY HOODIE, BLACK JACKET, BLUE JEANS GRAY AND BLACK NIKE SNEAKERS"
100059158,F190041876,2019-01-18 00:00:00.0,Male,White,39,,,,Hispanic Origin,
100059154,F190041879,2019-01-18 00:00:00.0,Male,White,44,Thin,Bald,Fair,,
100059155,F190041879,2019-01-18 00:00:00.0,Female,Black,,,Straight,Brown,Unknown,
100059156,F190041879,2019-01-18 00:00:00.0,Female,Black,20,,Straight,Brown,Unknown,
100059157,F190041877,2019-01-18 02:50:00.0,Male,Black,28,Heavy,,Dark,Not of Hispanic Origin,
100059159,F190041876,2019-01-18 00:00:00.0,Female,White,42,,,,Hispanic Origin,
100059160,F190041869,2019-01-17 10:12:00.0,Female,Black,20,,,,,
100059161,F190041869,2019-01-17 10:12:00.0,Male,Black,22,,,,,
100059162,F190041869,2019-01-17 10:12:00.0,Male,Black,23,,,,,
